	Unnamed: 0	Außenbezirk	Adresse	Räume	Preis	Datum	PLZ	Parkplätze	Landgrösse	Breitengrad	Längengrad
309	309	Altona North	45 Freemans Rd	4		2016-12-10	3025	5	537	-37.8261	144.8391
310	310	Altona North	21 Hatherley Gr	3	700000	2016-12-10	3025	3	554	-37.8449	144.85
311	311	Altona North	1B Paproth Gr	2	551000	2016-12-10	3025				
312	312	Altona North	7 Seventh Av	3	685000	2016-12-10	3025				
313	313	Altona North	1/256 Mason St	2	640000	2017-03-11	3025	1	252	-37.8397	144.8602
314	314	Altona North	21 Allan St	4	650000	2016-06-12	3025	4	558	-37.8451	144.8529
315	315	Altona North	56a First Av	3	925000	2016-11-12	3025				
316	316	Altona North	63a First Av	3		2016-08-13	3025				
317	317	Altona North	59 Misten Av	2		2016-08-13	3025				
318	318	Altona North	85a First Av	3	670000	2016-05-14	3025				
319	319	Altona North	22 Joel Av	3	680000	2016-05-14	3025				
320	320	Altona North	11 Mahon Av	3	765000	2016-05-14	3025				
321	321	Altona North	2/36 May St	3	675000	2016-05-14	3025	2	171	-37.8337	144.8554
322	322	Altona North	11 Beevers St	3	708000	2016-10-15	3025	2	585	-37.8258	144.8523
323	323	Altona North	2/10 Cleghorn Av	3	656000	2016-10-15	3025				
324	324	Altona North	2 Edward Av	4	883000	2016-10-15	3025				
325	325	Altona North	10 Murphy St	4	965000	2016-10-15	3025	4	851	-37.8345	144.8444
326	326	Altona North	128 Second Av	3	870000	2016-10-15	3025				
327	327	Altona North	5/24 Valerian Av	3	681000	2016-10-15	3025				
328	328	Altona North	2/31 Cooper Av	2	522500	2016-07-16	3025				
329	329	Altona North	9 Begonia Av	5	972000	2016-09-17	3025				
330	330	Altona North	1/36 Amaranth Av	3	590000	2016-06-18	3025				
331	331	Altona North	3/36 Amaranth Av	2	450000	2016-06-18	3025				
332	332	Altona North	61 Cooper Av	3	765000	2016-06-18	3025				
333	333	Altona North	10 Freemans St	3	750000	2016-06-18	3025				
334	334	Altona North	16 Beevers St	3	680000	2016-11-19	3025	3	551	-37.8254	144.8514
335	335	Altona North	4/63 Marion St	1		2016-11-19	3025	1	0	-37.8355	144.853
336	336	Altona North	150A McIntosh Rd	2	510000	2016-11-19	3025				
337	337	Altona North	21 Neal Ct	3	770000	2016-11-19	3025	3	602	-37.8327	144.8451
338	338	Altona North	31 Duosa Rd	3	923000	2016-05-22	3025	2	740	-37.8269	144.8455
339	339	Altona North	252 Millers Rd	4	693000	2016-05-22	3025	4	315	-37.8391	144.8467
340	340	Altona North	1/156 Chambers Rd	3	620000	2016-08-22	3025	2	276	-37.8262	144.8443
341	341	Altona North	19 Cleghorn Av	3	800000	2016-08-22	3025				
342	342	Altona North	2 Gadsden St	3	728500	2016-08-22	3025	1	531	-37.8277	144.8385
343	343	Altona North	24 Hansen St	3	931000	2016-08-22	3025	1	590	-37.8382	144.8649
344	344	Altona North	4 Prismall St	3	988000	2016-08-22	3025	4	715	-37.8423	144.8632
345	345	Altona North	1/21 Freemans Rd	3	590000	2016-04-23	3025				
346	346	Altona North	122 McIntosh Rd	3	590000	2016-04-23	3025	2	561	-37.8444	144.8491
347	347	Altona North	35 May St	2	610000	2016-09-24	3025	2	691	-37.834	144.8553
348	348	Altona North	29 Cyclamen Av	2		2017-02-25	3025				
349	349	Altona North	6 Hill St	3	815000	2017-02-25	3025	3	555	-37.8318	144.8388
350	350	Altona North	84 May St	4	970000	2017-02-25	3025	2	708	-37.833	144.8494
351	351	Altona North	81 Fifth Av	4	840000	2016-07-26	3025				
352	352	Altona North	23 Huxtable Av	3	840000	2016-07-26	3025				
353	353	Altona North	155 Chambers Rd	4	760000	2016-06-27	3025	3	668	-37.8262	144.8439
354	354	Altona North	61a First Av	3	852500	2016-06-27	3025				
355	355	Altona North	268d Mason St	4	847500	2016-06-27	3025	1	252	-37.8393	144.8568
356	356	Altona North	5 Cresser St	4	1200000	2016-11-27	3025	4	633	-37.8375	144.8541
357	357	Altona North	1/33 Fifth Av	3	630000	2016-11-27	3025				
358	358	Altona North	1/8 Fourth Av	3		2016-11-27	3025				
359	359	Altona North	107 McIntosh Rd	3	700000	2016-11-27	3025	1	557	-37.8441	144.8505
360	360	Altona North	10 Knapp St	3	625000	2016-05-28	3025	1	536	-37.8285	144.8351
361	361	Altona North	4/221 Blackshaws Rd	2	292000	2016-08-28	3025	1	153	-37.8332	144.8649
362	362	Altona North	56a MacDonald Av	3	640000	2016-08-28	3025				
363	363	Altona North	126 Sixth Av	3	800000	2016-07-30	3025				
364	364	Armadale	24 Hume St	3		2016-09-03	3143	1	305	-37.8573	145.0226
365	365	Armadale	8/19 Mercer Rd	2	599000	2016-09-03	3143	1	0	-37.8543	145.0262
366	366	Armadale	1/42 Adelaide St	2	550000	2016-12-03	3143	0	861	-37.8539	145.0284
367	367	Armadale	14/71 Denbigh Rd	3	995000	2016-12-03	3143	2	0	-37.8552	145.016
368	368	Armadale	4/769 High St	3	1205000	2016-12-03	3143	2	101	-37.854	145.0135
369	369	Armadale	12 Huntingtower Rd	3		2016-12-03	3143	2	588	-37.8546	145.0245
370	370	Armadale	28 Lambeth Av	3	2675000	2016-12-03	3143				
371	371	Armadale	7 Llaneast St	3	1939000	2016-12-03	3143	2	296	-37.8614	145.0274
372	372	Armadale	9/55 Northcote Rd	1	421500	2016-12-03	3143	0	0	-37.853	145.0167
373	373	Armadale	1/7 Railway Av	2	585000	2016-12-03	3143				
374	374	Armadale	65 Barkly Av	3	2050000	2017-03-04	3143				
375	375	Armadale	28 Cambridge St	3	1870000	2017-03-04	3143	1	217	-37.8592	145.0182
376	376	Armadale	6 Cambridge St	4		2017-03-04	3143	1	211	-37.859	145.0172
377	377	Armadale	3/16 Fulton St	2	678000	2017-03-04	3143	2	0	-37.8538	145.0127
378	378	Armadale	6 Fulton St	2		2017-03-04	3143	1	183	-37.8538	145.0123
379	379	Armadale	21 Lambeth Av	3		2017-03-04	3143				
380	380	Armadale	3/20 Mercer Rd	3	1918000	2017-03-04	3143	2	0	-37.8537	145.0267
381	381	Armadale	7/53 Wattletree Rd	1		2017-03-04	3143	0	881	-37.8614	145.0222
382	382	Armadale	1/77 Wattletree Rd	2	660000	2017-03-04	3143	1	0	-37.8619	145.0257
383	383	Armadale	12 Willis St	3	2050000	2017-03-04	3143	1	205	-37.8574	145.0281
384	384	Armadale	12 Alleyne Av	4		2016-06-04	3143				
385	385	Armadale	3/10 Denbigh Rd	2		2016-06-04	3143	1	0	-37.8596	145.0156
386	386	Armadale	8/71 Denbigh Rd	2	700000	2016-06-04	3143	2	0	-37.8552	145.016
387	387	Armadale	11/17 Myamyn St	2	3625000	2016-06-04	3143	2	0	-37.8555	145.0291
388	388	Armadale	526 Orrong Rd	4	3000000	2016-06-04	3143	2	1581	-37.858	145.0111
389	389	Armadale	37 Barkly Av	2	1930000	2016-08-06	3143				
390	390	Armadale	553 Dandenong Rd	5	1525000	2016-05-07	3143	2	693	-37.8638	145.0229
391	391	Armadale	17 Egerton Rd	4		2016-05-07	3143	2	500	-37.8623	145.0223
392	392	Armadale	9/19 Mercer Rd	3	735000	2016-05-07	3143	1	2113	-37.8543	145.0262
393	393	Armadale	6/26 Mercer Rd	2	825000	2016-05-07	3143	1	0	-37.8528	145.0268
394	394	Armadale	538a Orrong Rd	3	1586000	2016-05-07	3143	2	246	-37.8566	145.0116
395	395	Armadale	557 Orrong Rd	4		2016-05-07	3143	2	369	-37.8548	145.0113
396	396	Armadale	5/68 Rose St	3		2016-05-07	3143	1	175	-37.8515	145.02
397	397	Armadale	11/38 Wattletree Rd	2		2016-05-07	3143	1	0	-37.8613	145.0184
398	398	Armadale	24 Lambeth Av	5		2016-11-07	3143				
399	399	Armadale	18/41 Kooyong Rd	2	645000	2016-10-08	3143	1	0	-37.8596	145.0198
400	400	Armadale	10 William St	1	1435000	2016-10-08	3143	1	144	-37.8564	145.0228
401	401	Armadale	11 Adelaide St	4		2016-09-10	3143	2	662	-37.8549	145.0276
402	402	Armadale	15/405 Dandenong Rd	1	280000	2016-09-10	3143	1	0	-37.8619	145.0185
403	403	Armadale	1/2 Armadale St	1	400000	2016-12-10	3143	1	0	-37.8605	145.0185
404	404	Armadale	54 Denbigh Rd	4		2016-12-10	3143	2	551	-37.8566	145.0161
405	405	Armadale	4/20 Mercer Rd	2	1780000	2016-12-10	3143	2	0	-37.8537	145.0267
406	406	Armadale	47 Northcote Rd	3		2016-12-10	3143	0	246	-37.8533	145.0169
407	407	Armadale	8/58 Sutherland Rd	2	592500	2016-12-10	3143	1	0	-37.8574	145.0174
408	408	Armadale	6A Munro St	3		2016-11-12	3143	1	242	-37.8534	145.0185
409	409	Armadale	40 New St	2	1210000	2016-11-12	3143	0	249	-37.8543	145.016
410	410	Armadale	35 Northcote Rd	4	2801000	2016-11-12	3143	2	624	-37.8536	145.0173
411	411	Armadale	7/17 Myamyn St	3		2016-08-13	3143	3	0	-37.8555	145.0291
412	412	Armadale	595 Orrong Rd	3		2016-08-13	3143	2	292	-37.8523	145.0116
413	413	Armadale	3 Wattletree Rd	3		2016-05-14	3143	1	482	-37.8606	145.0157
414	414	Armadale	7/53 Wattletree Rd	1	390000	2016-05-14	3143	0	881	-37.8614	145.0222
415	415	Armadale	2b Denbigh Rd	3		2016-10-15	3143	1	228	-37.8603	145.0155
416	416	Armadale	791 High St	3	1800000	2016-10-15	3143	2	405	-37.8545	145.0145
417	417	Armadale	22 Lambeth Av	4		2016-10-15	3143				
418	418	Armadale	25 Llaneast St	4	2200000	2016-10-15	3143	2	495	-37.8613	145.0264
419	419	Armadale	5 Alleyne Av	4		2016-04-16	3143				
420	420	Armadale	8/569 Orrong Rd	1	324000	2016-04-16	3143	1	0	-37.8537	145.0114
421	421	Armadale	19 Sutherland Rd	3		2016-04-16	3143	2	451	-37.8593	145.0167
422	422	Armadale	17/579 Dandenong Rd	2		2016-07-16	3143	1	0	-37.8646	145.0247
423	423	Armadale	11/26 Gladstone Av	2		2016-07-16	3143				
424	424	Armadale	2/1 Munro St	3		2016-07-16	3143	4	0	-37.853	145.0181
425	425	Armadale	1 Cambridge St	2		2016-09-17	3143	2	230	-37.8593	145.017
426	426	Armadale	367 Dandenong Rd	6	5525000	2016-09-17	3143	4	1491	-37.8602	145.013
427	427	Armadale	10 Egerton Rd	4		2016-09-17	3143	2	449	-37.8628	145.0226
428	428	Armadale	34a Rose St	2	1125000	2016-09-17	3143	2	169	-37.851	145.0161
429	429	Armadale	42 Rose St	3	2250000	2016-09-17	3143	1	301	-37.8511	145.0167
430	430	Armadale	12 Auburn Gr	3	2360000	2017-03-18	3143	0	336	-37.8558	145.015
431	431	Armadale	31 Hume St	2	1900000	2017-03-18	3143	0	207	-37.8571	145.0224
432	432	Armadale	10/581 Orrong Rd	1	440000	2017-03-18	3143	1	0	-37.8531	145.0115
433	433	Armadale	5/8 Sutherland Rd	2		2017-03-18	3143				
434	434	Armadale	5/92 Wattletree Rd	2		2017-03-18	3143	1	734	-37.8623	145.0262
435	435	Armadale	7/579 Dandenong Rd	2	490000	2016-06-18	3143	1	0	-37.8646	145.0247
436	436	Armadale	1/13 Denbigh Rd	3		2016-06-18	3143	2	0	-37.859	145.0153
437	437	Armadale	19 Glassford St	3	2365000	2016-06-18	3143	1	316	-37.8521	145.019
438	438	Armadale	14 New St	3	1300000	2016-06-18	3143	2	212	-37.8542	145.0149
439	439	Armadale	9/38 Northcote Rd	2		2016-06-18	3143	1	0	-37.8531	145.0173
440	440	Armadale	7/501 Orrong Rd	3	732000	2016-06-18	3143	2	0	-37.8597	145.0104
441	441	Armadale	6/51 Armadale St	2	704000	2016-11-19	3143	1	0	-37.8573	145.0186
442	442	Armadale	30 Barkly Av	4		2016-11-19	3143				
443	443	Armadale	5/31 Inverness Av	2		2016-11-19	3143				
444	444	Armadale	12/41 Kooyong Rd	2	620000	2016-11-19	3143	1	0	-37.8596	145.0198
445	445	Armadale	63 Denbigh Rd	3	1900000	2016-05-22	3143	2	328	-37.8559	145.0158
446	446	Armadale	1 Derby St	3		2016-05-22	3143	2	0	-37.8512	145.0207
447	447	Armadale	5/2 Mercer Rd	3		2016-05-22	3143	2	0	-37.8557	145.0264
448	448	Armadale	9/60 Wattletree Rd	2		2016-05-22	3143	1	2659	-37.8616	145.0211
449	449	Armadale	13/56 Sutherland Rd	1	315000	2016-08-22	3143	1	0	-37.8575	145.0174
450	450	Armadale	12 Baldwin St	3		2016-04-23	3143	0	151	-37.8549	145.0219
451	451	Armadale	48 Barkly Av	3	1992000	2016-04-23	3143				
452	452	Armadale	7/22 Derby St	1	450000	2016-09-24	3143	1	0	-37.8509	145.0203
453	453	Armadale	10/51 Armadale St	2	710000	2017-02-25	3143	1	2471	-37.8573	145.0186
454	454	Armadale	2/377 Dandenong Rd	2	872000	2017-02-25	3143	1	1194	-37.8604	145.0147
455	455	Armadale	1/14 Denbigh Rd	2	598000	2017-02-25	3143	1	0	-37.8593	145.0156
456	456	Armadale	15 Sutherland Rd	3		2017-02-25	3143	2	459	-37.8595	145.0166
457	457	Armadale	75 Sutherland Rd	3	1285000	2017-02-25	3143	2	186	-37.8554	145.0173
458	458	Armadale	61 Union St	4	3660000	2017-02-25	3143	2	421	-37.8593	145.0275
459	459	Armadale	30 Willis St	3		2017-02-25	3143	2	251	-37.8572	145.0275
460	460	Armadale	1/770 Malvern Rd	2		2016-07-26	3143	1	0	-37.8498	145.0145
461	461	Armadale	1/403 Dandenong Rd	2	520000	2016-06-27	3143	1	0	-37.8618	145.0183
462	462	Armadale	7 Lambeth Av	4	2760000	2016-06-27	3143				
463	463	Armadale	3 Alleyne Av	4		2016-11-27	3143				
464	464	Armadale	10/507 Dandenong Rd	2	690000	2016-11-27	3143				
465	465	Armadale	44 Denbigh Rd	4	3625000	2016-11-27	3143	2	709	-37.8574	145.016
466	466	Armadale	44 Hampden Rd	4	4200000	2016-11-27	3143	3	563	-37.8582	145.0138
467	467	Armadale	3/769 High St	3	1101000	2016-11-27	3143	2	103	-37.8542	145.0135
468	468	Armadale	4 Mercer Rd	3	3512500	2016-11-27	3143	2	617	-37.8557	145.0264
469	469	Armadale	4/38 Northcote Rd	2		2016-11-27	3143	1	0	-37.8531	145.0173
470	470	Armadale	4/576 Orrong Rd	2		2016-11-27	3143	2	0	-37.8539	145.0119
471	471	Armadale	17 Kooyong Rd	4	2000000	2016-05-28	3143	4	544	-37.8611	145.0195
472	472	Armadale	896 Malvern Rd	3		2016-05-28	3143	1	0	-37.8505	145.0205
473	473	Armadale	1/31 Mercer Rd	3	869000	2016-05-28	3143	1	0	-37.853	145.0264
474	474	Armadale	8/507 Dandenong Rd	2	577000	2016-08-28	3143				
475	475	Armadale	8 Derby St	3		2016-08-28	3143	1	196	-37.8509	145.0208
476	476	Armadale	1/6 Elm Gr	2		2016-08-28	3143	4	0	-37.8525	145.0159
477	477	Armadale	37 Lambeth Av	3	2865000	2016-08-28	3143				
478	478	Armadale	16 Llaneast St	5	2810000	2016-08-28	3143	2	617	-37.8611	145.0271
479	479	Armadale	2/532 Orrong Rd	2	565000	2016-08-28	3143	1	0	-37.8573	145.0112
480	480	Armadale	5/555 Orrong Rd	1	567000	2016-08-28	3143	1	0	-37.8549	145.0113
481	481	Armadale	3/50 Denbigh Rd	2	546000	2016-07-30	3143	0	0	-37.8568	145.0161
482	482	Armadale	11 Egerton Rd	2		2016-07-30	3143	1	266	-37.8626	145.0222
483	483	Armadale	7/844 Malvern Rd	2	471500	2016-07-30	3143	1	0	-37.8503	145.0185
484	484	Ascot Vale	24 Ayr St	3		2016-09-03	3032	2	305	-37.7799	144.9296
485	485	Ascot Vale	2/43 Roxburgh St	2	455000	2016-09-03	3032	2	0	-37.7756	144.9165
486	486	Ascot Vale	30 Rothwell St	3	940000	2016-12-03	3032	2	298	-37.7777	144.9195
487	487	Ascot Vale	9/5 Rothwell St	2	467000	2016-12-03	3032	1	0	-37.7761	144.9201
488	488	Ascot Vale	47 Union Rd	3		2016-12-03	3032	2	271	-37.7783	144.9149
489	489	Ascot Vale	42 Archer Av	3	895000	2016-02-04	3032				
490	490	Ascot Vale	7 Francis St	3	1380000	2017-03-04	3032	2	277	-37.7777	144.9221
491	491	Ascot Vale	2/21 Harold St	2	490000	2017-03-04	3032	1	423	-37.7736	144.9015
492	492	Ascot Vale	44 The Parade	4	1850000	2017-03-04	3032	1	478	-37.7729	144.9179
493	493	Ascot Vale	97 Walter St	3	1284000	2017-03-04	3032	2	623	-37.7758	144.9089
494	494	Ascot Vale	98 Epsom Rd	3	971000	2016-06-04	3032	2	285	-37.775	144.9091
495	495	Ascot Vale	8 Geddes St	2	710000	2016-06-04	3032	1	214	-37.7776	144.9142
496	496	Ascot Vale	75 Maribyrnong Rd	6	2425000	2016-06-04	3032	2	1014	-37.7721	144.9184
497	497	Ascot Vale	119 Roseberry St	2	750000	2016-06-04	3032	1	226	-37.7745	144.9093
498	498	Ascot Vale	25 Station Av	2	840000	2016-06-04	3032				
